title;price;place a;place b;place c;size;lat;long
A blok, lux, novogradnja, garaža, ID 19863;1.200,00;Beograd ;Opština Novi Beograd ;Blok 67a (A blok);"50";44.8061288;20.4015421
Centar,Vojvode Milenka,pogodan za pp,parking ID#15;550,00;Beograd ;Opština Savski venac ;Centar ;"70";34.8325353;-92.1873959
Odlično renoviran 2.0, Blok 9B sa lođom 45m2;700,00;Beograd ;Opština Novi Beograd ;Hotel Jugoslavija ;"45";44.8295445;20.4201481
Apartman, Zemun;330,00;Beograd ;Opština Zemun ;Gornji grad ;"17";46.2961712;14.8062347
Vračar, Južni bulevar,3.5 lux novogradnja, id 4440;1.000,00;Beograd ;Opština Vračar ;Južni bulevar ;"92";44.793588;20.4809591
Jedinstveno u ponudi, 3.0 BW Aurora ID#1470;2.200,00;Beograd ;Opština Savski venac ;Beograd na vodi ;"86,67";44.80488280000001;20.448043
Lekino brdo, trosoban stan, namešten,terasa,garaža;1.000,00;Beograd ;Opština Voždovac ;Lekino brdo ;"79";44.7891937;20.4947692
Nov stan, novi kompleks, garaža ID 5249;900,00;Beograd ;Opština Novi Beograd ;Blok 67a (A blok);"70";44.8061288;20.4015421
Beograd, Blok 65, Stan, 2.0, 65m2;1.800,00;Beograd ;Opština Novi Beograd ;Blok 65;"65";44.8126665;20.3980309
Beograd, Blok 63, Stan, 3.0, 87m2;1.200,00;Beograd ;Opština Novi Beograd ;Blok 63;"87";44.805903;20.3823845
Beograd, Blok 67a (A blok), Stan, 2.0, 54m2;800,00;Beograd ;Opština Novi Beograd ;Blok 67a (A blok);"54";44.8061288;20.4015421
Beograd, Prvomajska, Stan, 2.5, 75m2;800,00;Beograd ;Opština Zemun ;Prvomajska ;"75";45.68258609999999;16.1043823
Beograd, Blok 63, Stan, 1.0, 32m2;550,00;Beograd ;Opština Novi Beograd ;Blok 63;"32";44.805903;20.3823845
Beograd, Blok 65, Stan, 2.0, 60m2;1.500,00;Beograd ;Opština Novi Beograd ;Blok 65;"60";44.8126665;20.3980309
Beograd, Dorćol, Stan, 2.0, 60m2;1.500,00;Beograd ;Opština Stari grad ;Dorćol ;"60";44.8252158;20.460523
BW - Aurora, lux, komforan, garaža, ID 19876;1.300,00;Beograd ;Opština Savski venac ;Beograd na vodi ;"56";44.80488280000001;20.448043
65m2 – Ulcinjska, Zvezdara, Beograd;800,00;Beograd ;Opština Vračar ;Crveni krst ;"65";44.795856;20.4882292
60m2 - Banjska, Zvezdara;900,00;Beograd ;Opština Zvezdara ;Vukov Spomenik ;"60";44.8046413;20.4832729
65m2 – Mileševska, Kalenić, Vračar, Beograd;1.000,00;Beograd ;Opština Vračar ;Kalenić pijaca ;"65";44.8001747;20.475769
40m2 - Andrićev Venac, Skupština, Stari grad, Beog;850,00;Beograd ;Opština Stari grad ;Andrićev venac ;"40";44.8097554;20.463919
100m2 – Šumatovačka, Vračar, Hram. sv. Save, Beogr;1.300,00;Beograd ;Opština Vračar ;Hram svetog Save ;"100";44.7981382;20.4690468
40m2 – Višnjička banja, Dragana Maksimoviča, Beogr;400,00;Beograd ;Opština Palilula ;Višnjička Banja ;"40";44.82226;20.534591
40m2 - Gročanska, Vračar, Beograd;750,00;Beograd ;Opština Vračar ;Crveni krst ;"40";44.795856;20.4882292
75m2 – Španskih boraca, Novi Beograd;1.100,00;Beograd ;Opština Novi Beograd ;YUBC ;"75";null;null
55m2 – Kraljice Natalije, Terazije, Stari grad, Be;950,00;Beograd ;Opština Stari grad ;Terazije ;"55";44.8126696;20.4612717
80m2 – Žorža Klemensoa, Dorćol, Stari grad, Beogra;1.000,00;Beograd ;Opština Stari grad ;Dorćol ;"80";44.8252158;20.460523
Novi Beograd - Fontana ID#51868;400,00;Beograd ;Opština Novi Beograd ;Fontana ;"52";34.0922335;-117.435048
Moderano namešten stan za izdavanje;1.500,00;Beograd ;Opština Savski venac ;Beograd na vodi ;"53";44.80488280000001;20.448043
